customer_id,age_group,region,product,tenure_months,lifetime_value,nps_score,churn_risk,acquisition_channel
CX00041,46-55,Asia Pacific,Basic Plan,1,23185.13,9,Low,Website
CX00042,55+,Europe,Enterprise Plan,9,46696.34,1,Low,Phone
CX00043,36-45,Europe,Add-on Services,54,27389.29,4,High,In-Store
CX00044,55+,North America,Enterprise Plan,60,33337.74,2,Medium,Website
CX00045,18-25,Europe,Enterprise Plan,19,30439.08,5,Low,In-Store
CX00046,36-45,Latin America,Enterprise Plan,58,45453.87,0,Low,In-Store
CX00047,46-55,Asia Pacific,Basic Plan,1,17011.05,2,High,Phone
CX00048,26-35,Latin America,Add-on Services,36,978.65,1,High,Mobile App
CX00049,55+,North America,Enterprise Plan,38,27849.99,6,Low,Website
CX00050,36-45,Asia Pacific,Basic Plan,58,18211.56,10,Low,In-Store
CX00051,18-25,Asia Pacific,Add-on Services,40,37599.14,3,Low,Mobile App
CX00052,46-55,North America,Pro Plan,48,46262.12,6,High,In-Store
CX00053,26-35,Asia Pacific,Pro Plan,51,35213.27,6,Low,Email
CX00054,26-35,Europe,Add-on Services,23,15606.95,3,Low,Website
CX00055,26-35,Latin America,Enterprise Plan,18,43285.47,4,Medium,In-Store
CX00056,55+,Latin America,Enterprise Plan,2,6209.42,4,Low,Live Chat
CX00057,36-45,North America,Basic Plan,39,22010.91,5,Medium,Live Chat
CX00058,55+,North America,Add-on Services,58,29041.11,4,Low,In-Store
CX00059,46-55,North America,Pro Plan,24,21849.22,10,Medium,Live Chat
CX00060,36-45,North America,Enterprise Plan,33,15809.59,6,Medium,Email
CX00061,36-45,Europe,Pro Plan,27,33414.01,6,High,In-Store
CX00062,26-35,Asia Pacific,Add-on Services,36,41769.4,4,Medium,Mobile App
CX00063,46-55,Asia Pacific,Add-on Services,29,22386.91,3,High,Email
CX00064,26-35,North America,Enterprise Plan,33,33360.76,9,Medium,Website
CX00065,26-35,Asia Pacific,Pro Plan,52,10356.93,0,Low,Mobile App
CX00066,46-55,North America,Add-on Services,27,44363.78,9,Low,In-Store
CX00067,46-55,Latin America,Add-on Services,16,7804.78,0,Low,Email
CX00068,26-35,Europe,Add-on Services,4,28091.59,1,Medium,Mobile App
CX00069,46-55,Asia Pacific,Add-on Services,40,40842.82,8,Medium,Live Chat
CX00070,46-55,Europe,Add-on Services,29,13329.98,3,High,Phone
CX00071,55+,Latin America,Pro Plan,18,22273.69,4,Low,Phone
CX00072,36-45,Asia Pacific,Basic Plan,9,7966.12,6,High,Mobile App
CX00073,26-35,North America,Add-on Services,27,16878.63,7,Medium,Website
CX00074,26-35,Latin America,Add-on Services,58,38604.89,0,High,Email
CX00075,46-55,North America,Enterprise Plan,20,37797.02,6,High,In-Store
CX00076,55+,Europe,Add-on Services,15,14010.3,7,Low,Email
CX00077,36-45,Latin America,Pro Plan,54,23635.81,2,High,Live Chat
CX00078,18-25,Latin America,Basic Plan,6,32316.11,2,Medium,Mobile App
CX00079,18-25,Asia Pacific,Add-on Services,21,10977.18,5,Medium,Email
CX00080,36-45,Latin America,Enterprise Plan,54,4554.36,0,High,Live Chat
CX00081,18-25,Asia Pacific,Pro Plan,42,3896.61,10,Low,Website
CX00082,26-35,Europe,Basic Plan,40,8042.93,2,Medium,In-Store
CX00083,18-25,Europe,Add-on Services,45,13184.06,5,Low,Live Chat
CX00084,55+,North America,Pro Plan,20,5850.89,0,Medium,Live Chat
CX00085,46-55,Latin America,Pro Plan,5,29808.84,10,Low,Website
CX00086,36-45,North America,Basic Plan,23,26870.89,10,Medium,Website
CX00087,55+,Asia Pacific,Basic Plan,55,21292.91,7,Low,Email
CX00088,36-45,Latin America,Pro Plan,28,9218.78,8,High,Phone
CX00089,55+,Latin America,Add-on Services,28,41373.86,9,Medium,Phone
CX00090,26-35,North America,Enterprise Plan,57,22814.7,7,High,Live Chat
CX00091,46-55,Asia Pacific,Basic Plan,32,42622.17,2,Medium,Mobile App
CX00092,36-45,Asia Pacific,Enterprise Plan,18,44075.84,4,High,Website
CX00093,55+,Europe,Basic Plan,16,36143.7,7,High,Mobile App
CX00094,46-55,Latin America,Add-on Services,51,1353.54,4,Low,Email
CX00095,26-35,Asia Pacific,Enterprise Plan,31,27896.91,5,Medium,In-Store
CX00096,55+,Asia Pacific,Enterprise Plan,45,22960.39,4,Medium,Mobile App
CX00097,18-25,Europe,Enterprise Plan,8,37272.61,2,Low,Mobile App
CX00098,46-55,Asia Pacific,Enterprise Plan,7,41715.1,4,Low,Phone
CX00099,26-35,Asia Pacific,Basic Plan,46,26939.69,4,Low,Website
CX00100,55+,Asia Pacific,Pro Plan,41,43488.83,7,Low,Website
CX00101,55+,Asia Pacific,Add-on Services,31,22303.21,2,Low,Phone
CX00102,46-55,North America,Basic Plan,26,24841.45,9,High,In-Store
CX00103,18-25,Europe,Pro Plan,52,28360.56,4,Low,Mobile App
CX00104,18-25,Latin America,Pro Plan,50,26367.34,7,Medium,Phone
CX00105,55+,Latin America,Enterprise Plan,37,31240.85,9,High,Website
CX00106,26-35,Europe,Enterprise Plan,43,4518.78,3,Low,Live Chat
CX00107,18-25,Europe,Basic Plan,27,22799.93,9,Medium,Phone
CX00108,18-25,Europe,Enterprise Plan,46,14494.56,7,Low,In-Store
CX00109,26-35,Asia Pacific,Pro Plan,28,6181.43,3,High,Mobile App
CX00110,36-45,Europe,Basic Plan,4,8713.18,4,High,In-Store
CX00111,55+,Asia Pacific,Add-on Services,8,23700.55,4,High,Email
CX00112,36-45,Latin America,Add-on Services,6,30102.81,6,High,Phone
CX00113,55+,Asia Pacific,Basic Plan,6,11831.76,10,High,Live Chat
CX00114,18-25,Asia Pacific,Basic Plan,49,37935.31,7,High,In-Store
CX00115,46-55,Asia Pacific,Pro Plan,38,22076.31,7,Low,Email
CX00116,36-45,Latin America,Enterprise Plan,21,33671.61,2,Medium,Email
CX00117,46-55,Asia Pacific,Add-on Services,53,38144.74,0,Medium,Website
CX00118,36-45,Asia Pacific,Enterprise Plan,8,48524.14,6,High,Website
CX00119,55+,Latin America,Add-on Services,4,9785.34,5,High,Email
CX00120,46-55,North America,Pro Plan,18,27686.37,4,Medium,In-Store
CX00121,46-55,North America,Basic Plan,41,30639.15,3,High,Mobile App
CX00122,36-45,North America,Add-on Services,6,11622.68,1,Medium,Website
CX00123,26-35,Latin America,Enterprise Plan,33,35417.88,6,Medium,Email
CX00124,26-35,Latin America,Pro Plan,25,9935.21,9,High,In-Store
CX00125,26-35,North America,Enterprise Plan,50,39605.31,6,Medium,Live Chat
CX00126,36-45,North America,Enterprise Plan,47,15278.51,9,High,In-Store
CX00127,46-55,Europe,Add-on Services,35,24474.9,5,High,Live Chat
CX00128,46-55,Latin America,Enterprise Plan,56,9838.29,3,High,Email
CX00129,26-35,Latin America,Basic Plan,21,37362.91,6,Medium,In-Store
CX00130,26-35,Latin America,Basic Plan,9,25363.41,9,Medium,Website
CX00131,46-55,North America,Add-on Services,1,36260.97,6,High,Mobile App
CX00132,18-25,Latin America,Enterprise Plan,22,31351.34,6,High,Website
CX00133,36-45,Latin America,Enterprise Plan,41,36076.51,7,High,Website
CX00134,55+,North America,Pro Plan,41,34377.78,4,Low,In-Store
CX00135,18-25,Latin America,Basic Plan,49,31870.52,1,Medium,Mobile App
CX00136,36-45,North America,Basic Plan,21,39909.1,4,Medium,Phone
CX00137,46-55,Europe,Pro Plan,34,20896.56,10,Low,Mobile App
CX00138,26-35,North America,Add-on Services,40,34315.16,7,High,Mobile App
CX00139,26-35,Latin America,Enterprise Plan,30,13138.67,0,Medium,Phone
CX00140,55+,Europe,Basic Plan,29,47289.16,9,Medium,In-Store
CX00141,46-55,Asia Pacific,Add-on Services,55,15455.02,6,Medium,Website
CX00142,26-35,Latin America,Enterprise Plan,37,15145.68,4,Low,In-Store
CX00143,46-55,Asia Pacific,Basic Plan,37,43320.84,0,High,In-Store
CX00144,46-55,Asia Pacific,Pro Plan,39,40195.63,3,High,Mobile App
CX00145,55+,Asia Pacific,Pro Plan,41,5309.61,10,High,Website
CX00146,36-45,Latin America,Basic Plan,38,18560.63,2,Low,Phone
CX00147,36-45,Latin America,Pro Plan,13,7041.91,8,Medium,Live Chat
CX00148,55+,Asia Pacific,Pro Plan,17,45745.42,7,Medium,In-Store
CX00149,36-45,North America,Add-on Services,5,7467.47,3,High,In-Store
CX00150,46-55,Asia Pacific,Basic Plan,51,20031.44,4,High,Website
CX00151,46-55,Asia Pacific,Enterprise Plan,38,19360.76,10,Medium,Website
CX00152,26-35,Latin America,Basic Plan,40,44269.62,8,Medium,Live Chat
CX00153,26-35,North America,Add-on Services,59,35203.32,10,Medium,Website
CX00154,26-35,North America,Basic Plan,20,49798.41,1,Low,Mobile App
CX00155,55+,Europe,Add-on Services,30,18865.07,8,Medium,Live Chat
CX00156,26-35,Latin America,Basic Plan,54,24722.68,6,Medium,Website
CX00157,36-45,Europe,Add-on Services,29,47552.48,5,Low,In-Store
CX00158,36-45,Asia Pacific,Basic Plan,26,14156.13,1,Medium,Website
CX00159,26-35,North America,Basic Plan,51,17008.7,2,High,Mobile App
CX00160,18-25,Europe,Pro Plan,53,43549.92,5,Low,Live Chat
CX00161,18-25,Asia Pacific,Pro Plan,9,27240.67,2,Low,In-Store
CX00162,18-25,Europe,Basic Plan,23,39604.24,3,High,Phone
CX00163,18-25,Europe,Enterprise Plan,4,6774.55,6,High,Website
CX00164,18-25,Latin America,Add-on Services,50,18420.93,9,Low,Email
CX00165,55+,Europe,Basic Plan,47,39269.74,10,High,Phone
CX00166,46-55,North America,Basic Plan,31,42441.28,6,High,Website
CX00167,46-55,Latin America,Basic Plan,58,4499.13,9,Low,Website
CX00168,26-35,Asia Pacific,Enterprise Plan,25,49734.07,8,Medium,Email
CX00169,55+,Latin America,Basic Plan,51,35238.08,10,High,Live Chat
CX00170,26-35,Latin America,Add-on Services,57,11810.43,5,Medium,Email
CX00171,46-55,North America,Enterprise Plan,28,15969.92,4,Medium,Mobile App
CX00172,46-55,North America,Basic Plan,54,4725.54,6,Low,In-Store
CX00173,36-45,Europe,Basic Plan,38,47852.92,8,Medium,In-Store
CX00174,18-25,Latin America,Enterprise Plan,56,33434.36,6,High,Website
CX00175,36-45,Asia Pacific,Enterprise Plan,7,29106.97,3,Low,In-Store
CX00176,46-55,Europe,Basic Plan,23,42345.98,5,Low,Phone
CX00177,55+,Europe,Add-on Services,55,28267.8,9,High,In-Store
CX00178,55+,North America,Enterprise Plan,2,9430.6,4,Medium,Phone
CX00179,18-25,Europe,Pro Plan,37,33038.56,1,Low,In-Store
CX00180,18-25,North America,Pro Plan,25,21281.71,5,Low,Phone
CX00181,36-45,Asia Pacific,Basic Plan,57,3104.14,2,High,Website
CX00182,18-25,Asia Pacific,Add-on Services,43,21488.73,9,Medium,Email
CX00183,36-45,Europe,Basic Plan,23,21780.72,4,High,In-Store
CX00184,55+,Latin America,Enterprise Plan,3,11415.66,9,Low,Website
CX00185,26-35,Asia Pacific,Pro Plan,50,7293.12,4,Medium,Phone
CX00186,18-25,North America,Add-on Services,48,21817.42,2,Medium,Live Chat
CX00187,26-35,Asia Pacific,Basic Plan,26,43157.34,0,Medium,Website
CX00188,46-55,North America,Enterprise Plan,37,21749.57,6,High,In-Store
CX00189,46-55,Asia Pacific,Basic Plan,26,1532.4,5,Low,Live Chat
CX00190,46-55,Asia Pacific,Basic Plan,28,42301.98,3,Medium,Live Chat
CX00191,46-55,North America,Add-on Services,56,15858.59,5,Low,Phone
CX00192,26-35,North America,Basic Plan,34,25742.63,5,Medium,In-Store
CX00193,26-35,Europe,Basic Plan,10,13170.43,2,High,Mobile App
CX00194,18-25,Europe,Add-on Services,30,37845.07,9,Medium,In-Store
CX00195,55+,Asia Pacific,Enterprise Plan,10,22268.26,7,Medium,In-Store
CX00196,36-45,Asia Pacific,Basic Plan,23,25613.18,4,Medium,Email
CX00197,18-25,North America,Enterprise Plan,54,14710.31,10,Low,Live Chat
CX00198,55+,Latin America,Add-on Services,38,27938.66,0,Medium,Live Chat
CX00199,26-35,Asia Pacific,Add-on Services,33,7967.62,0,Medium,Website
CX00200,36-45,North America,Pro Plan,3,12763.31,7,Medium,Live Chat
CX00201,55+,Europe,Enterprise Plan,24,45937.87,6,Medium,Phone
CX00202,55+,North America,Enterprise Plan,5,16819.69,8,High,Email
CX00203,36-45,Asia Pacific,Pro Plan,22,4534.35,10,Low,Phone
CX00204,36-45,Latin America,Pro Plan,39,35587.28,1,Medium,Live Chat
CX00205,46-55,Asia Pacific,Pro Plan,43,35290.13,10,High,Website
CX00206,46-55,Asia Pacific,Basic Plan,24,15788.87,3,Medium,Email
CX00207,26-35,Europe,Pro Plan,10,4319.67,1,High,Live Chat
CX00208,55+,North America,Enterprise Plan,57,38432.23,2,High,Email
CX00209,26-35,Europe,Pro Plan,54,34795.86,9,Low,In-Store
CX00210,46-55,North America,Add-on Services,24,33979.96,3,Medium,Live Chat
CX00211,36-45,Latin America,Pro Plan,35,12338.84,7,Low,Phone
CX00212,55+,Latin America,Add-on Services,50,14447.7,6,High,Live Chat
CX00213,46-55,Europe,Pro Plan,52,30430.84,4,Low,In-Store
CX00214,46-55,Asia Pacific,Basic Plan,46,42371.67,1,Medium,Website
CX00215,26-35,Asia Pacific,Add-on Services,58,25910.96,6,Low,Mobile App
CX00216,46-55,Asia Pacific,Basic Plan,27,3136.22,8,Medium,Mobile App
CX00217,46-55,North America,Enterprise Plan,15,1895.28,1,High,In-Store
CX00218,36-45,Europe,Pro Plan,3,14700.53,7,High,Mobile App
CX00219,46-55,Latin America,Basic Plan,58,4421.68,4,Low,Mobile App
CX00220,55+,Latin America,Basic Plan,50,14761.03,4,Low,Website
CX00221,26-35,Latin America,Add-on Services,5,5987.47,7,High,Live Chat
CX00222,18-25,Europe,Pro Plan,19,21747.33,9,Medium,Mobile App
CX00223,55+,Latin America,Pro Plan,43,33576.64,8,Medium,Website
CX00224,55+,North America,Add-on Services,56,23771.69,10,Medium,Phone
CX00225,36-45,North America,Enterprise Plan,51,3844.2,3,High,In-Store
CX00226,18-25,Asia Pacific,Pro Plan,3,17938.8,5,High,Mobile App
CX00227,46-55,Latin America,Pro Plan,52,7175.2,7,Low,Phone
CX00228,26-35,North America,Pro Plan,57,2574.34,4,High,Email
CX00229,55+,Latin America,Enterprise Plan,3,37787.9,3,Medium,Phone
CX00230,18-25,Asia Pacific,Enterprise Plan,8,40067.45,6,Medium,In-Store
CX00231,46-55,Latin America,Enterprise Plan,12,25062.06,7,Medium,Live Chat
CX00232,36-45,North America,Add-on Services,6,21815.05,2,High,Phone
CX00233,36-45,North America,Basic Plan,21,33215.5,4,Medium,Live Chat
CX00234,46-55,Europe,Add-on Services,23,22632.92,5,High,Email
CX00235,36-45,North America,Basic Plan,43,32056.87,5,High,In-Store
CX00236,26-35,North America,Pro Plan,55,30574.86,7,Low,Mobile App
CX00237,18-25,Europe,Enterprise Plan,24,19451.29,9,Low,Live Chat
CX00238,26-35,Latin America,Enterprise Plan,24,22474.99,1,High,Mobile App
CX00239,55+,Asia Pacific,Add-on Services,21,32653.26,3,Low,Website
CX00240,26-35,Latin America,Add-on Services,59,28302.8,4,Medium,In-Store
CX00241,46-55,Europe,Enterprise Plan,45,45865.71,7,Low,Website
CX00242,26-35,North America,Add-on Services,12,44984.61,7,Low,In-Store
CX00243,36-45,Asia Pacific,Basic Plan,36,27337.48,4,Low,In-Store
CX00244,26-35,Asia Pacific,Pro Plan,8,49264.06,2,Low,Email
CX00245,18-25,Asia Pacific,Enterprise Plan,30,40281.26,8,Low,Live Chat
CX00246,18-25,North America,Enterprise Plan,26,49979.95,7,High,Email
CX00247,46-55,North America,Pro Plan,21,32295.76,7,Medium,In-Store
CX00248,55+,Asia Pacific,Pro Plan,57,41538.16,8,High,Live Chat
CX00249,26-35,Europe,Add-on Services,33,45580.26,0,Low,Live Chat
CX00250,26-35,Asia Pacific,Pro Plan,11,16471.71,3,Medium,Live Chat
CX00251,36-45,North America,Enterprise Plan,13,31935.33,8,Medium,Mobile App
CX00252,36-45,North America,Pro Plan,38,47109.55,2,Low,In-Store
CX00253,55+,Asia Pacific,Basic Plan,53,43257.17,1,Low,In-Store
CX00254,55+,Asia Pacific,Pro Plan,50,28820.79,9,High,Website
CX00255,46-55,Asia Pacific,Enterprise Plan,31,12621.46,10,Medium,Phone
CX00256,46-55,North America,Basic Plan,11,22260.47,7,Medium,Mobile App
CX00257,36-45,Europe,Enterprise Plan,56,36058.96,5,Medium,Mobile App
CX00258,36-45,North America,Enterprise Plan,16,23590.39,4,Medium,Mobile App
CX00259,26-35,North America,Basic Plan,19,47296.55,9,Medium,Mobile App
CX00260,26-35,Asia Pacific,Enterprise Plan,13,38274.51,7,High,Email
CX00261,46-55,Asia Pacific,Add-on Services,2,4957.43,6,High,Email
CX00262,26-35,Europe,Enterprise Plan,4,3001.75,7,High,In-Store
CX00263,46-55,Asia Pacific,Basic Plan,55,5821.11,2,Medium,In-Store
CX00264,36-45,Latin America,Enterprise Plan,3,20328.79,9,High,Mobile App
CX00265,36-45,Asia Pacific,Basic Plan,25,25460.65,8,Medium,Live Chat
CX00266,55+,North America,Pro Plan,7,19998.23,5,High,Phone
CX00267,26-35,Europe,Add-on Services,33,2492.62,0,Low,In-Store
CX00268,36-45,Latin America,Add-on Services,10,30509.9,8,Low,Phone
CX00269,55+,Asia Pacific,Pro Plan,26,49535.48,4,High,Phone
CX00270,55+,Latin America,Enterprise Plan,31,40879.57,5,Medium,In-Store
CX00271,18-25,Latin America,Enterprise Plan,51,44988.97,10,Low,Live Chat
CX00272,46-55,Asia Pacific,Pro Plan,47,3042.08,7,Low,Live Chat
CX00273,55+,Latin America,Pro Plan,53,34195.98,0,High,In-Store
CX00274,18-25,Europe,Basic Plan,29,16027.78,2,Medium,In-Store
CX00275,26-35,Latin America,Add-on Services,56,42494.66,0,High,Mobile App
CX00276,55+,Europe,Enterprise Plan,43,24179.36,6,Medium,Mobile App
CX00277,46-55,Asia Pacific,Enterprise Plan,44,38713.49,10,High,In-Store
CX00278,36-45,Latin America,Pro Plan,16,14310.82,4,Low,Phone
CX00279,36-45,Europe,Add-on Services,21,24250.27,8,High,Phone
CX00280,36-45,North America,Add-on Services,58,49017.95,5,Low,Phone
CX00281,18-25,Asia Pacific,Basic Plan,23,46238.48,10,Medium,In-Store
CX00282,46-55,Europe,Pro Plan,53,27159.61,8,High,Phone
CX00283,26-35,North America,Pro Plan,16,3012.89,8,Low,In-Store
CX00284,26-35,North America,Basic Plan,27,16849.53,7,Low,In-Store
CX00285,26-35,North America,Pro Plan,27,32818.19,7,Medium,In-Store
CX00286,26-35,Asia Pacific,Enterprise Plan,19,32471.95,1,High,Live Chat
CX00287,26-35,North America,Pro Plan,27,44171.13,2,Low,Email
CX00288,46-55,Europe,Enterprise Plan,57,2354.58,4,High,Live Chat
CX00289,18-25,Asia Pacific,Enterprise Plan,30,49460.42,8,High,Email
CX00290,26-35,Latin America,Enterprise Plan,13,40536.29,5,Low,In-Store
CX00291,46-55,Asia Pacific,Pro Plan,1,36962.59,4,High,In-Store
CX00292,26-35,Europe,Add-on Services,53,21671.31,5,Low,Email
CX00293,18-25,Europe,Pro Plan,31,16518.28,3,Low,Phone
CX00294,46-55,Europe,Add-on Services,49,13716.22,5,Medium,Live Chat
CX00295,55+,North America,Enterprise Plan,42,18297.83,3,Low,In-Store
CX00296,18-25,Latin America,Enterprise Plan,11,20568.12,8,High,Phone
CX00297,18-25,Asia Pacific,Enterprise Plan,40,11432.04,2,Medium,Mobile App
CX00298,46-55,Asia Pacific,Add-on Services,45,27687.11,7,High,In-Store
CX00299,26-35,Europe,Basic Plan,34,22614.02,5,Low,Live Chat
CX00300,18-25,North America,Pro Plan,37,27064.68,2,Medium,Live Chat
CX00301,46-55,North America,Pro Plan,46,29365.81,1,High,Email
CX00302,18-25,Latin America,Pro Plan,33,21063.52,9,Low,Live Chat
CX00303,46-55,Asia Pacific,Basic Plan,26,13095.63,0,High,Mobile App
CX00304,55+,North America,Basic Plan,28,17554.18,1,High,Website
CX00305,18-25,Latin America,Basic Plan,19,20738.91,2,High,In-Store
CX00306,46-55,Asia Pacific,Add-on Services,29,43546.2,6,Medium,Website
CX00307,55+,Europe,Enterprise Plan,8,9334.44,8,Medium,Live Chat
CX00308,26-35,Europe,Basic Plan,49,1625.4,4,Medium,In-Store
CX00309,55+,Latin America,Add-on Services,53,11868.37,7,Medium,Mobile App
CX00310,36-45,Europe,Basic Plan,3,40569.17,6,High,Website
CX00311,26-35,Europe,Basic Plan,7,29900.24,7,High,In-Store
CX00312,18-25,Europe,Basic Plan,26,22228.66,8,Low,Website
CX00313,26-35,Asia Pacific,Pro Plan,53,45861.65,9,Medium,Live Chat
CX00314,55+,Asia Pacific,Pro Plan,20,43874.79,10,High,Mobile App
CX00315,46-55,Asia Pacific,Enterprise Plan,4,28057.55,9,High,Mobile App
CX00316,46-55,Latin America,Basic Plan,23,47108.53,10,Medium,Live Chat
CX00317,36-45,Latin America,Add-on Services,10,15344.48,2,High,Email
CX00318,26-35,Europe,Enterprise Plan,55,35525.05,7,Low,Live Chat
CX00319,46-55,Latin America,Pro Plan,25,12521.5,3,Medium,In-Store
CX00320,18-25,Latin America,Enterprise Plan,6,27013.96,3,Low,Phone
CX00321,46-55,North America,Basic Plan,13,40330.21,9,High,In-Store
CX00322,55+,Europe,Add-on Services,14,43538.96,5,Medium,Website
CX00323,26-35,Europe,Basic Plan,48,49978.81,7,Low,In-Store
CX00324,55+,Europe,Add-on Services,59,12346.88,5,Medium,Email
CX00325,46-55,Asia Pacific,Enterprise Plan,17,18302.41,7,Medium,Website
CX00326,46-55,Asia Pacific,Pro Plan,24,15989.64,0,High,Mobile App
CX00327,26-35,North America,Enterprise Plan,36,46770.53,9,High,Email
CX00328,36-45,Europe,Pro Plan,22,11885.92,9,Low,Email
CX00329,55+,Asia Pacific,Enterprise Plan,49,41168.8,10,High,Email
CX00330,46-55,Europe,Enterprise Plan,11,7427.95,8,Medium,Mobile App
CX00331,55+,North America,Basic Plan,54,42411.52,10,Low,Website
CX00332,46-55,Europe,Pro Plan,5,35504.89,0,Low,Live Chat
CX00333,46-55,Asia Pacific,Basic Plan,40,32067.57,9,Medium,In-Store
CX00334,46-55,North America,Basic Plan,35,27806.36,0,Low,Live Chat
CX00335,36-45,Asia Pacific,Basic Plan,33,40751.28,10,Medium,Mobile App
CX00336,18-25,North America,Pro Plan,16,10000.64,8,Medium,Phone
CX00337,36-45,Latin America,Basic Plan,24,47985.24,7,High,Mobile App
CX00338,26-35,Asia Pacific,Basic Plan,42,49587.9,10,Low,Website
CX00339,46-55,Latin America,Add-on Services,36,24062.25,10,Low,In-Store
CX00340,26-35,North America,Add-on Services,55,21978.53,5,High,Website
CX00341,55+,North America,Pro Plan,14,45113.01,9,Medium,Phone
CX00342,18-25,North America,Enterprise Plan,58,27380.02,10,Low,Mobile App
CX00343,36-45,North America,Pro Plan,38,7637.48,6,Low,Phone
CX00344,26-35,Europe,Add-on Services,44,44878.03,5,Medium,In-Store
CX00345,26-35,North America,Enterprise Plan,4,5335.45,3,Low,Phone
CX00346,55+,Latin America,Enterprise Plan,2,31889.09,7,Medium,Mobile App
CX00347,36-45,Latin America,Add-on Services,12,34144.9,10,Medium,Website
CX00348,55+,Asia Pacific,Pro Plan,46,4138.58,4,Low,Email
CX00349,26-35,Latin America,Enterprise Plan,24,5774.27,0,Medium,Email
CX00350,36-45,Asia Pacific,Basic Plan,9,4821.21,6,Medium,Live Chat
CX00351,55+,Latin America,Basic Plan,2,4936.13,8,Low,Live Chat
CX00352,55+,Asia Pacific,Add-on Services,1,14946.44,6,Low,In-Store
CX00353,55+,Europe,Pro Plan,44,19346.24,2,Medium,Phone
CX00354,36-45,Latin America,Pro Plan,5,8776.77,4,Medium,Phone
CX00355,46-55,North America,Enterprise Plan,17,47239.0,10,Medium,Live Chat
CX00356,55+,Europe,Add-on Services,7,7206.73,0,Medium,Phone
CX00357,55+,Latin America,Enterprise Plan,29,17069.44,10,High,Mobile App
CX00358,36-45,Asia Pacific,Pro Plan,31,16052.07,6,Medium,Phone
CX00359,46-55,Europe,Enterprise Plan,25,14374.86,6,Medium,Website
CX00360,55+,Europe,Pro Plan,44,38497.09,0,High,Email
CX00361,26-35,Latin America,Enterprise Plan,54,34795.35,6,High,Email
CX00362,26-35,Asia Pacific,Pro Plan,17,33103.82,6,Medium,Website
CX00363,46-55,Latin America,Add-on Services,35,25577.33,6,High,Website
CX00364,36-45,North America,Basic Plan,50,12787.43,10,Medium,Mobile App
CX00365,55+,North America,Add-on Services,49,16914.04,6,Low,Website
