interaction_id,customer_id,date,channel,touchpoint,product,region,csat_score,resolution_time_hrs,resolution_status,first_contact_resolution,effort_score,sentiment,age_group,tenure_months
INT000026,CX02782,2026-02-10,In-Store,Support,Pro Plan,Asia Pacific,2.62,0.89,Escalated,1,2.0,Positive,55+,8
INT000027,CX03197,2025-11-28,Phone,Renewal,Basic Plan,Latin America,4.02,0.3,Pending,1,1.4,Positive,36-45,60
INT000028,CX00245,2026-01-25,Mobile App,Renewal,Enterprise Plan,Asia Pacific,3.37,0.18,Resolved,0,4.3,Neutral,18-25,30
INT000029,CX01378,2025-06-13,Mobile App,Renewal,Pro Plan,North America,3.19,0.19,Pending,0,1.4,Negative,46-55,47
INT000030,CX03571,2025-12-03,In-Store,Complaint,Pro Plan,Asia Pacific,1.76,0.95,Resolved,1,3.7,Neutral,18-25,9
INT000031,CX03932,2025-11-14,Email,Onboarding,Basic Plan,Europe,3.82,1.57,Resolved,0,4.1,Neutral,18-25,35
INT000032,CX02826,2025-09-06,Live Chat,Purchase,Basic Plan,Asia Pacific,4.1,0.26,Resolved,1,3.4,Neutral,46-55,29
INT000033,CX01405,2026-05-05,Live Chat,Onboarding,Enterprise Plan,Asia Pacific,4.9,0.17,Escalated,0,3.7,Negative,55+,46
INT000034,CX00354,2026-03-26,Mobile App,Support,Pro Plan,Latin America,3.09,0.09,Resolved,0,2.7,Positive,36-45,5
INT000035,CX01911,2026-03-29,Website,Renewal,Add-on Services,Latin America,3.59,0.17,Resolved,1,4.3,Neutral,46-55,5
INT000036,CX00995,2026-01-07,In-Store,Support,Add-on Services,Latin America,3.67,0.28,Resolved,0,2.7,Positive,36-45,21
INT000037,CX02482,2025-06-28,Mobile App,Feedback,Basic Plan,Latin America,3.4,0.07,Resolved,0,1.2,Positive,26-35,10
INT000038,CX04964,2025-10-01,In-Store,Feedback,Basic Plan,Asia Pacific,4.84,0.72,Pending,0,4.4,Neutral,36-45,4
INT000039,CX03320,2025-07-24,Live Chat,Renewal,Enterprise Plan,Latin America,4.12,0.27,Pending,1,2.2,Positive,46-55,24
INT000040,CX04800,2026-01-21,Email,Feedback,Enterprise Plan,Latin America,2.56,2.58,Pending,1,2.1,Positive,55+,28
INT000041,CX04375,2025-08-07,In-Store,Support,Enterprise Plan,Asia Pacific,4.35,0.11,Resolved,1,3.4,Positive,36-45,45
INT000042,CX01529,2025-08-31,Email,Feedback,Add-on Services,Latin America,3.81,4.12,Resolved,1,2.3,Neutral,46-55,58
INT000043,CX00464,2025-07-30,Mobile App,Purchase,Add-on Services,Europe,4.73,0.06,Resolved,0,2.5,Negative,55+,20
INT000044,CX01085,2026-02-08,Email,Purchase,Pro Plan,North America,3.6,4.15,Resolved,1,2.4,Positive,46-55,54
INT000045,CX04888,2026-01-15,Website,Onboarding,Enterprise Plan,North America,3.01,0.12,Resolved,0,1.5,Negative,55+,9
INT000046,CX04735,2026-02-23,Mobile App,Support,Pro Plan,Europe,3.53,0.17,Resolved,1,3.9,Positive,18-25,12
INT000047,CX01069,2026-04-24,Live Chat,Onboarding,Enterprise Plan,Latin America,3.35,0.2,Resolved,1,4.1,Positive,46-55,3
INT000048,CX01214,2025-06-06,Mobile App,Purchase,Add-on Services,Asia Pacific,3.61,0.05,Escalated,1,1.2,Negative,55+,29
INT000049,CX01330,2025-11-24,Website,Complaint,Pro Plan,Asia Pacific,1.84,0.13,Escalated,1,2.9,Neutral,18-25,33
INT000050,CX01896,2026-05-11,In-Store,Complaint,Pro Plan,Latin America,2.65,0.66,Pending,0,1.7,Negative,36-45,49
INT000051,CX03098,2025-10-09,Phone,Onboarding,Pro Plan,North America,3.25,0.19,Pending,0,2.9,Negative,46-55,37
INT000052,CX01975,2026-01-11,Phone,Feedback,Enterprise Plan,North America,2.77,0.41,Escalated,1,3.2,Negative,36-45,60
INT000053,CX04731,2026-01-19,Live Chat,Complaint,Add-on Services,Asia Pacific,3.17,0.12,Resolved,1,2.2,Positive,55+,41
INT000054,CX03415,2025-10-13,Live Chat,Renewal,Add-on Services,Asia Pacific,3.48,0.29,Resolved,1,3.4,Positive,46-55,30
INT000055,CX00348,2026-03-22,Phone,Purchase,Pro Plan,Asia Pacific,4.98,0.34,Resolved,1,4.6,Positive,55+,46
INT000056,CX00837,2025-10-04,Website,Purchase,Add-on Services,Latin America,4.5,0.2,Resolved,0,4.1,Negative,46-55,37
INT000057,CX02240,2025-11-16,In-Store,Complaint,Enterprise Plan,Asia Pacific,2.23,0.87,Pending,1,1.9,Positive,18-25,7
INT000058,CX03992,2025-10-13,In-Store,Purchase,Add-on Services,Europe,3.55,0.94,Escalated,1,3.4,Negative,36-45,18
INT000059,CX00372,2025-06-25,In-Store,Renewal,Pro Plan,Europe,3.07,0.13,Resolved,1,1.3,Negative,26-35,36
INT000060,CX02214,2026-01-29,Phone,Support,Add-on Services,Europe,2.66,0.2,Pending,1,4.3,Neutral,46-55,1
INT000061,CX03737,2025-07-24,Phone,Support,Basic Plan,North America,2.74,0.22,Escalated,1,2.9,Negative,18-25,47
INT000062,CX04475,2026-03-14,Mobile App,Feedback,Pro Plan,Latin America,3.05,0.19,Resolved,0,3.8,Positive,36-45,22
INT000063,CX04570,2026-01-22,Mobile App,Purchase,Pro Plan,Europe,4.49,0.17,Pending,1,2.2,Negative,55+,28
INT000064,CX02320,2025-12-20,Live Chat,Complaint,Pro Plan,Europe,2.3,0.18,Resolved,1,3.9,Negative,26-35,49
INT000065,CX04213,2025-07-05,Email,Support,Add-on Services,Europe,3.62,3.34,Pending,1,2.2,Negative,55+,7
INT000066,CX03907,2026-04-05,Live Chat,Purchase,Add-on Services,Latin America,4.39,0.19,Resolved,1,3.1,Positive,36-45,6
INT000067,CX03297,2025-10-03,In-Store,Complaint,Enterprise Plan,North America,2.26,0.18,Resolved,0,3.2,Positive,36-45,32
INT000068,CX04430,2025-12-06,Live Chat,Purchase,Enterprise Plan,Asia Pacific,3.86,0.18,Resolved,1,2.4,Negative,55+,32
INT000069,CX04666,2026-02-10,Website,Support,Basic Plan,North America,3.72,0.19,Pending,1,1.4,Positive,36-45,43
INT000070,CX02763,2026-01-08,Phone,Support,Pro Plan,Asia Pacific,4.33,0.18,Resolved,0,3.6,Positive,26-35,46
INT000071,CX03007,2026-01-25,Phone,Feedback,Pro Plan,Europe,2.78,0.43,Pending,1,1.7,Positive,46-55,22
INT000072,CX01234,2025-07-15,Email,Feedback,Basic Plan,Europe,3.71,2.93,Resolved,0,5.0,Negative,46-55,4
INT000073,CX01858,2025-08-01,Website,Complaint,Pro Plan,North America,2.13,0.15,Resolved,1,3.3,Neutral,36-45,15
INT000074,CX04382,2025-09-15,Phone,Feedback,Basic Plan,Asia Pacific,4.22,0.16,Resolved,0,1.6,Positive,55+,9
INT000075,CX02345,2026-05-09,In-Store,Purchase,Add-on Services,Europe,4.07,0.36,Resolved,1,1.2,Neutral,55+,3
INT000076,CX00767,2026-03-15,Live Chat,Support,Basic Plan,North America,2.6,0.25,Escalated,1,1.1,Neutral,46-55,12
INT000077,CX04574,2026-02-04,Phone,Onboarding,Enterprise Plan,North America,4.58,0.37,Pending,1,1.9,Negative,36-45,12
INT000078,CX03386,2025-12-24,Phone,Support,Add-on Services,Latin America,3.38,0.23,Pending,0,4.6,Positive,46-55,5
INT000079,CX01870,2025-09-20,Live Chat,Purchase,Enterprise Plan,Europe,4.7,0.29,Resolved,1,2.7,Negative,55+,11
INT000080,CX01996,2026-04-04,Live Chat,Feedback,Basic Plan,Asia Pacific,4.53,0.14,Resolved,0,4.7,Positive,18-25,10
INT000081,CX00067,2025-08-28,Mobile App,Renewal,Add-on Services,Latin America,3.69,0.11,Resolved,1,3.8,Neutral,46-55,16
INT000082,CX03305,2026-03-27,Live Chat,Onboarding,Basic Plan,Latin America,4.43,0.15,Resolved,0,1.6,Positive,46-55,4
INT000083,CX04270,2026-03-05,In-Store,Onboarding,Basic Plan,Asia Pacific,3.3,0.93,Resolved,1,1.4,Positive,18-25,60
INT000084,CX03056,2026-01-13,Mobile App,Complaint,Basic Plan,Latin America,2.68,0.11,Resolved,0,2.5,Negative,55+,23
INT000085,CX02244,2026-05-08,Website,Renewal,Basic Plan,Europe,3.36,0.09,Pending,1,3.1,Positive,26-35,41
INT000086,CX01724,2026-02-09,Phone,Support,Enterprise Plan,Europe,3.17,0.5,Pending,1,2.5,Neutral,26-35,20
INT000087,CX01208,2025-10-16,Live Chat,Renewal,Enterprise Plan,Europe,4.38,0.14,Escalated,0,1.6,Positive,46-55,59
INT000088,CX03169,2025-12-27,Live Chat,Purchase,Enterprise Plan,Latin America,3.78,0.17,Resolved,0,2.1,Negative,26-35,25
INT000089,CX03988,2025-08-14,Phone,Purchase,Enterprise Plan,Latin America,3.59,0.17,Resolved,1,3.7,Positive,36-45,44
INT000090,CX01172,2026-03-28,Mobile App,Complaint,Enterprise Plan,Europe,2.85,0.11,Resolved,0,1.2,Negative,36-45,55
INT000091,CX01783,2026-04-06,Live Chat,Purchase,Enterprise Plan,Asia Pacific,4.49,0.19,Resolved,1,1.9,Positive,26-35,19
INT000092,CX01410,2026-03-18,In-Store,Complaint,Basic Plan,Europe,1.82,0.48,Pending,1,2.5,Positive,36-45,5
INT000093,CX04992,2026-05-14,Mobile App,Purchase,Pro Plan,Latin America,3.99,0.07,Resolved,1,1.8,Positive,26-35,52
INT000094,CX03127,2026-02-16,Phone,Feedback,Add-on Services,Europe,2.75,0.48,Pending,0,4.3,Negative,46-55,48
INT000095,CX00851,2026-04-27,In-Store,Feedback,Pro Plan,Latin America,3.18,0.94,Escalated,1,3.1,Negative,46-55,47
INT000096,CX01962,2025-12-18,Live Chat,Feedback,Enterprise Plan,Asia Pacific,3.9,0.24,Escalated,1,2.1,Negative,55+,41
INT000097,CX04339,2025-08-18,Live Chat,Onboarding,Pro Plan,North America,4.29,0.23,Resolved,1,1.1,Negative,55+,2
INT000098,CX04222,2025-09-18,Mobile App,Onboarding,Pro Plan,Latin America,3.73,0.11,Resolved,0,1.0,Positive,55+,23
INT000099,CX00100,2026-05-04,Website,Purchase,Pro Plan,Asia Pacific,4.23,0.05,Pending,1,2.3,Positive,55+,41
INT000100,CX02573,2025-11-04,Website,Feedback,Add-on Services,Europe,4.88,0.08,Escalated,0,5.0,Negative,36-45,23
INT000101,CX00112,2026-02-26,Website,Support,Add-on Services,Latin America,3.94,0.13,Resolved,1,4.4,Positive,36-45,6
INT000102,CX02524,2025-12-10,Website,Complaint,Add-on Services,Europe,1.52,0.07,Resolved,0,4.4,Positive,55+,33
INT000103,CX02833,2025-07-19,Mobile App,Support,Basic Plan,Latin America,2.78,0.07,Pending,1,2.4,Neutral,55+,54
INT000104,CX00058,2026-02-28,Mobile App,Complaint,Add-on Services,North America,2.27,0.11,Pending,1,4.8,Positive,55+,58
INT000105,CX03634,2025-11-19,Mobile App,Support,Pro Plan,Latin America,3.29,0.06,Resolved,1,1.1,Positive,26-35,18
INT000106,CX04496,2026-02-04,Phone,Purchase,Add-on Services,Asia Pacific,3.62,0.42,Pending,0,4.1,Neutral,46-55,43
INT000107,CX02183,2025-11-13,Email,Renewal,Add-on Services,Latin America,3.34,2.18,Resolved,0,4.6,Negative,18-25,53
INT000108,CX03017,2025-08-18,Mobile App,Renewal,Pro Plan,North America,3.82,0.1,Resolved,1,2.0,Negative,55+,44
INT000109,CX01388,2026-01-28,Mobile App,Renewal,Add-on Services,Europe,3.04,0.17,Resolved,1,2.8,Negative,26-35,34
INT000110,CX01355,2026-01-14,Phone,Complaint,Add-on Services,Asia Pacific,2.37,0.18,Escalated,0,3.5,Positive,26-35,24
INT000111,CX01583,2026-01-09,Mobile App,Complaint,Enterprise Plan,Asia Pacific,3.33,0.17,Pending,1,3.3,Neutral,36-45,56
INT000112,CX01662,2025-06-19,Mobile App,Support,Add-on Services,Latin America,2.69,0.19,Resolved,1,3.7,Positive,55+,19
INT000113,CX01779,2026-04-24,Phone,Feedback,Add-on Services,Asia Pacific,3.65,0.15,Resolved,1,3.1,Negative,18-25,46
INT000114,CX00981,2026-05-23,Mobile App,Support,Enterprise Plan,North America,4.46,0.15,Resolved,0,4.3,Positive,55+,25
INT000115,CX02115,2025-12-17,Live Chat,Complaint,Enterprise Plan,North America,3.1,0.15,Resolved,0,2.0,Positive,55+,41
INT000116,CX03160,2026-04-17,Live Chat,Feedback,Pro Plan,Latin America,3.12,0.27,Resolved,0,1.4,Negative,26-35,38
INT000117,CX00269,2025-08-25,Mobile App,Purchase,Pro Plan,Asia Pacific,3.91,0.18,Escalated,1,1.7,Positive,55+,26
INT000118,CX04431,2025-07-22,Mobile App,Support,Enterprise Plan,Asia Pacific,3.03,0.19,Pending,1,4.6,Neutral,18-25,40
INT000119,CX04214,2025-07-07,Phone,Complaint,Basic Plan,North America,3.13,0.22,Resolved,1,1.5,Negative,26-35,10
INT000120,CX02863,2026-04-13,Phone,Renewal,Enterprise Plan,North America,3.27,0.3,Escalated,1,3.0,Positive,36-45,35
INT000121,CX01841,2025-09-27,Phone,Purchase,Pro Plan,North America,4.78,0.13,Resolved,1,2.9,Positive,55+,49
INT000122,CX03682,2025-08-24,Phone,Support,Add-on Services,Europe,2.55,0.22,Resolved,0,1.2,Positive,26-35,51
INT000123,CX02311,2025-08-13,Phone,Feedback,Enterprise Plan,Latin America,2.57,0.42,Resolved,1,3.0,Positive,36-45,11
INT000124,CX02945,2025-05-30,Email,Support,Pro Plan,Europe,4.05,1.01,Resolved,1,1.7,Negative,36-45,53
INT000125,CX04584,2026-05-24,Mobile App,Complaint,Pro Plan,Europe,3.49,0.18,Escalated,1,1.6,Positive,36-45,32
INT000126,CX03921,2025-08-07,Email,Complaint,Basic Plan,Latin America,2.77,1.25,Resolved,1,3.6,Positive,36-45,55
INT000127,CX00761,2026-01-18,Email,Purchase,Add-on Services,Asia Pacific,3.87,4.37,Resolved,1,3.8,Positive,46-55,57
INT000128,CX03564,2025-06-07,Email,Feedback,Pro Plan,Latin America,3.69,3.57,Pending,1,3.5,Positive,18-25,25
INT000129,CX03119,2025-08-06,Phone,Complaint,Enterprise Plan,Europe,1.71,0.44,Escalated,1,3.2,Negative,26-35,17
INT000130,CX01271,2025-07-13,Live Chat,Feedback,Add-on Services,Europe,3.27,0.28,Resolved,0,2.2,Negative,46-55,26
INT000131,CX00832,2026-04-19,Mobile App,Feedback,Pro Plan,Europe,4.69,0.1,Resolved,1,2.5,Neutral,36-45,28
INT000132,CX00575,2025-09-21,Mobile App,Support,Add-on Services,North America,3.41,0.17,Pending,1,2.0,Neutral,26-35,3
INT000133,CX03586,2025-11-12,In-Store,Feedback,Enterprise Plan,North America,3.88,0.54,Resolved,1,4.4,Positive,55+,53
INT000134,CX02864,2025-06-29,Live Chat,Support,Add-on Services,Latin America,4.48,0.15,Resolved,1,2.4,Positive,55+,20
INT000135,CX03930,2025-11-20,Email,Onboarding,Enterprise Plan,Latin America,3.52,2.28,Resolved,1,1.8,Negative,46-55,55
INT000136,CX02041,2025-10-11,Email,Feedback,Add-on Services,North America,3.59,3.04,Pending,0,3.1,Negative,55+,42
INT000137,CX02881,2025-07-02,Live Chat,Renewal,Pro Plan,Europe,3.52,0.23,Pending,0,4.5,Negative,46-55,53
INT000138,CX04286,2026-05-05,Website,Purchase,Enterprise Plan,Latin America,3.8,0.11,Resolved,1,3.5,Positive,26-35,21
INT000139,CX02865,2026-01-22,Website,Purchase,Enterprise Plan,Asia Pacific,4.21,0.16,Pending,0,2.7,Negative,55+,36
INT000140,CX00488,2025-07-25,Email,Support,Basic Plan,Latin America,3.73,4.44,Resolved,1,1.6,Positive,55+,27
INT000141,CX01674,2025-11-05,Live Chat,Support,Basic Plan,Asia Pacific,2.6,0.23,Escalated,1,4.0,Positive,18-25,28
INT000142,CX01325,2026-02-13,Email,Onboarding,Basic Plan,Europe,3.5,3.53,Pending,1,1.4,Negative,18-25,11
INT000143,CX02434,2026-01-29,Phone,Complaint,Pro Plan,Asia Pacific,1.77,0.33,Resolved,1,3.7,Positive,36-45,38
INT000144,CX03713,2026-03-28,Mobile App,Feedback,Basic Plan,Europe,2.78,0.13,Escalated,1,2.2,Neutral,18-25,60
INT000145,CX01516,2025-08-11,Website,Renewal,Enterprise Plan,Asia Pacific,4.05,0.2,Resolved,1,1.0,Neutral,46-55,30
INT000146,CX00074,2026-02-03,Website,Support,Add-on Services,Latin America,4.46,0.05,Escalated,1,4.1,Positive,26-35,58
INT000147,CX03639,2025-06-13,In-Store,Support,Basic Plan,Asia Pacific,4.0,0.55,Resolved,1,2.2,Positive,46-55,10
INT000148,CX03140,2026-04-11,Email,Renewal,Basic Plan,Europe,4.05,1.39,Resolved,1,4.0,Negative,18-25,26
INT000149,CX01149,2026-02-11,Phone,Support,Add-on Services,Asia Pacific,3.48,0.47,Resolved,1,4.8,Positive,18-25,35
INT000150,CX04585,2025-10-31,Email,Renewal,Add-on Services,Latin America,3.16,1.32,Resolved,1,2.7,Positive,55+,1
INT000151,CX02721,2025-10-10,Email,Support,Enterprise Plan,Europe,3.64,1.83,Resolved,1,3.0,Neutral,26-35,52
INT000152,CX03882,2026-02-02,Email,Complaint,Enterprise Plan,Latin America,1.79,2.25,Escalated,1,2.9,Negative,46-55,21
INT000153,CX00928,2026-03-14,In-Store,Purchase,Basic Plan,Asia Pacific,3.63,0.41,Resolved,1,1.5,Positive,18-25,39
INT000154,CX01612,2026-05-14,Website,Purchase,Enterprise Plan,Latin America,4.22,0.17,Resolved,1,2.5,Neutral,55+,18
INT000155,CX04319,2026-04-06,Mobile App,Renewal,Enterprise Plan,Asia Pacific,3.28,0.14,Escalated,1,1.3,Neutral,55+,46
INT000156,CX02866,2025-11-12,Website,Feedback,Basic Plan,North America,2.82,0.18,Resolved,1,1.9,Neutral,26-35,51
INT000157,CX00794,2026-05-06,Email,Onboarding,Pro Plan,North America,4.03,4.43,Pending,1,3.6,Neutral,36-45,37
INT000158,CX02299,2025-12-13,Mobile App,Feedback,Enterprise Plan,North America,3.76,0.08,Pending,0,3.6,Neutral,36-45,25
INT000159,CX03149,2026-05-04,Email,Purchase,Pro Plan,Latin America,4.26,4.91,Escalated,0,5.0,Positive,26-35,36
INT000160,CX01455,2025-07-19,Email,Support,Add-on Services,North America,2.9,4.38,Escalated,1,1.2,Positive,46-55,9
INT000161,CX00351,2026-02-10,Website,Support,Basic Plan,Latin America,2.62,0.14,Resolved,0,3.9,Positive,55+,2
INT000162,CX01612,2025-11-26,Live Chat,Complaint,Enterprise Plan,Latin America,1.65,0.18,Pending,1,2.4,Positive,55+,18
INT000163,CX04004,2025-10-11,Mobile App,Feedback,Add-on Services,Latin America,3.17,0.07,Escalated,1,1.8,Neutral,46-55,7
INT000164,CX01622,2025-06-16,In-Store,Support,Basic Plan,North America,4.47,0.76,Escalated,1,3.8,Neutral,55+,5
INT000165,CX01928,2025-07-28,In-Store,Renewal,Enterprise Plan,North America,4.05,0.83,Escalated,1,1.3,Negative,36-45,44
INT000166,CX00180,2025-09-21,Website,Renewal,Pro Plan,North America,3.05,0.05,Resolved,1,3.2,Positive,18-25,25
INT000167,CX03242,2025-12-08,Mobile App,Onboarding,Add-on Services,North America,4.16,0.17,Resolved,1,1.0,Positive,46-55,39
INT000168,CX03223,2025-09-10,Live Chat,Feedback,Enterprise Plan,Asia Pacific,4.6,0.22,Escalated,0,2.6,Positive,18-25,3
INT000169,CX04114,2025-06-28,Live Chat,Feedback,Add-on Services,North America,4.37,0.23,Resolved,1,4.9,Positive,18-25,56
INT000170,CX01408,2025-10-27,Live Chat,Purchase,Pro Plan,Latin America,4.13,0.11,Pending,0,2.3,Negative,46-55,4
INT000171,CX03605,2026-04-17,In-Store,Onboarding,Enterprise Plan,North America,3.14,0.74,Resolved,1,2.1,Negative,26-35,6
INT000172,CX01702,2025-06-05,Live Chat,Purchase,Enterprise Plan,Europe,4.73,0.29,Resolved,0,4.7,Neutral,26-35,6
INT000173,CX03897,2025-10-21,In-Store,Feedback,Add-on Services,Asia Pacific,2.6,0.7,Resolved,1,2.3,Negative,26-35,28
INT000174,CX04349,2026-04-18,Live Chat,Complaint,Pro Plan,North America,1.96,0.19,Pending,1,4.4,Neutral,46-55,43
INT000175,CX03959,2025-07-20,Website,Purchase,Pro Plan,Asia Pacific,4.67,0.15,Escalated,0,2.0,Positive,26-35,52
INT000176,CX04264,2025-07-29,In-Store,Complaint,Pro Plan,North America,1.86,0.6,Resolved,0,4.5,Positive,46-55,47
INT000177,CX01503,2025-06-16,Email,Complaint,Basic Plan,Asia Pacific,2.31,4.5,Resolved,0,1.6,Negative,46-55,29
INT000178,CX01575,2025-08-24,Phone,Renewal,Add-on Services,Europe,3.36,0.18,Resolved,1,2.9,Positive,18-25,44
INT000179,CX01307,2025-11-28,Email,Support,Pro Plan,Latin America,2.63,2.45,Resolved,1,3.9,Neutral,36-45,37
INT000180,CX02863,2025-07-21,In-Store,Complaint,Enterprise Plan,North America,2.94,0.79,Resolved,1,2.7,Positive,36-45,35
INT000181,CX01447,2026-04-06,Mobile App,Complaint,Basic Plan,North America,2.07,0.2,Escalated,0,3.9,Positive,36-45,52
INT000182,CX00110,2025-09-30,Live Chat,Purchase,Basic Plan,Europe,3.89,0.28,Resolved,1,3.3,Positive,36-45,4
INT000183,CX03245,2025-12-22,Phone,Complaint,Basic Plan,Latin America,2.14,0.45,Resolved,1,1.0,Positive,18-25,27
INT000184,CX02670,2026-03-22,Mobile App,Support,Enterprise Plan,Latin America,4.32,0.13,Pending,1,2.0,Negative,26-35,45
INT000185,CX01637,2025-07-18,In-Store,Purchase,Add-on Services,North America,4.93,0.47,Escalated,1,1.8,Positive,36-45,7
INT000186,CX02753,2025-12-16,Live Chat,Purchase,Pro Plan,Europe,3.77,0.14,Resolved,1,3.7,Neutral,46-55,58
INT000187,CX04234,2025-06-25,In-Store,Onboarding,Basic Plan,North America,3.72,0.79,Resolved,1,1.9,Positive,26-35,59
INT000188,CX03496,2026-02-11,Mobile App,Complaint,Pro Plan,North America,2.11,0.12,Escalated,1,3.6,Positive,18-25,13
INT000189,CX03163,2026-05-13,Mobile App,Purchase,Basic Plan,Europe,4.67,0.12,Escalated,1,4.8,Positive,55+,8
INT000190,CX00613,2025-10-01,Mobile App,Onboarding,Enterprise Plan,Asia Pacific,4.7,0.08,Resolved,1,2.2,Positive,55+,38
INT000191,CX02323,2026-05-06,Website,Renewal,Pro Plan,Europe,3.02,0.13,Pending,0,1.3,Positive,55+,38
INT000192,CX03390,2025-08-11,Email,Purchase,Basic Plan,Latin America,3.88,1.39,Escalated,0,4.3,Neutral,36-45,49
INT000193,CX01427,2025-11-05,Website,Support,Basic Plan,Latin America,3.16,0.16,Escalated,1,1.1,Negative,55+,15
INT000194,CX02963,2026-04-14,In-Store,Onboarding,Basic Plan,Latin America,4.58,0.85,Resolved,1,3.9,Positive,26-35,48
INT000195,CX01096,2025-08-28,Phone,Support,Basic Plan,Europe,3.28,0.29,Resolved,0,1.8,Positive,36-45,2
INT000196,CX04101,2025-06-12,Phone,Support,Enterprise Plan,Asia Pacific,2.53,0.37,Resolved,1,4.0,Negative,36-45,44
INT000197,CX02371,2025-08-25,Email,Renewal,Basic Plan,Europe,3.3,3.3,Escalated,1,4.5,Positive,46-55,46
INT000198,CX00407,2025-07-25,Phone,Complaint,Basic Plan,North America,2.52,0.24,Pending,1,3.2,Positive,26-35,40
INT000199,CX03010,2025-10-28,Mobile App,Renewal,Basic Plan,Latin America,4.14,0.06,Resolved,0,4.3,Positive,55+,42
INT000200,CX03549,2026-05-12,Phone,Onboarding,Basic Plan,Asia Pacific,3.34,0.32,Resolved,1,2.6,Neutral,18-25,9
INT000201,CX01709,2025-12-26,Mobile App,Complaint,Pro Plan,Asia Pacific,2.62,0.17,Resolved,1,3.4,Positive,26-35,12
INT000202,CX00839,2025-09-15,Live Chat,Support,Add-on Services,North America,2.61,0.12,Pending,1,1.4,Positive,36-45,38
INT000203,CX01620,2026-02-24,Email,Support,Pro Plan,North America,3.88,3.86,Escalated,1,4.7,Negative,26-35,33
INT000204,CX03487,2026-01-25,Phone,Feedback,Basic Plan,Asia Pacific,3.51,0.48,Resolved,0,1.0,Positive,18-25,38
